Model,Repeat,Fold,Run,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__num_leaves,depth,iterations,learning_rate,classifier__min_samples_split,classifier__C,classifier__solver,classifier__gamma,classifier__kernel
CatBoost,3,6,26,,,,,6.0,200.0,0.05,,,,,
CatBoost,3,7,27,,,,,4.0,200.0,0.05,,,,,
CatBoost,3,8,28,,,,,4.0,200.0,0.05,,,,,
CatBoost,3,9,29,,,,,4.0,200.0,0.05,,,,,
CatBoost,3,10,30,,,,,4.0,200.0,0.05,,,,,
RandomForest,1,1,1,,10.0,100.0,,,,,5.0,,,,
RandomForest,1,2,2,,10.0,100.0,,,,,5.0,,,,
RandomForest,1,3,3,,10.0,100.0,,,,,5.0,,,,
RandomForest,1,4,4,,10.0,100.0,,,,,5.0,,,,
RandomForest,1,5,5,,10.0,200.0,,,,,5.0,,,,
RandomForest,1,6,6,,10.0,200.0,,,,,5.0,,,,
RandomForest,1,7,7,,10.0,100.0,,,,,5.0,,,,
RandomForest,1,8,8,,10.0,200.0,,,,,5.0,,,,
RandomForest,1,9,9,,10.0,100.0,,,,,5.0,,,,
RandomForest,1,10,10,,10.0,100.0,,,,,5.0,,,,
RandomForest,2,1,11,,10.0,100.0,,,,,5.0,,,,
RandomForest,2,2,12,,10.0,200.0,,,,,5.0,,,,
RandomForest,2,3,13,,10.0,100.0,,,,,5.0,,,,
RandomForest,2,4,14,,10.0,100.0,,,,,5.0,,,,
RandomForest,2,5,15,,10.0,100.0,,,,,5.0,,,,
RandomForest,2,6,16,,10.0,100.0,,,,,5.0,,,,
RandomForest,2,7,17,,10.0,100.0,,,,,5.0,,,,
RandomForest,2,8,18,,10.0,100.0,,,,,5.0,,,,
RandomForest,2,9,19,,10.0,100.0,,,,,5.0,,,,
RandomForest,2,10,20,,10.0,100.0,,,,,5.0,,,,
RandomForest,3,1,21,,10.0,200.0,,,,,5.0,,,,
RandomForest,3,2,22,,10.0,200.0,,,,,5.0,,,,
RandomForest,3,3,23,,10.0,100.0,,,,,5.0,,,,
RandomForest,3,4,24,,10.0,100.0,,,,,5.0,,,,
RandomForest,3,5,25,,10.0,100.0,,,,,5.0,,,,
RandomForest,3,6,26,,10.0,100.0,,,,,5.0,,,,
RandomForest,3,7,27,,10.0,200.0,,,,,5.0,,,,
RandomForest,3,8,28,,10.0,100.0,,,,,5.0,,,,
RandomForest,3,9,29,,10.0,200.0,,,,,5.0,,,,
RandomForest,3,10,30,,10.0,200.0,,,,,5.0,,,,
LogisticRegression,1,1,1,,,,,,,,,1.0,liblinear,,
LogisticRegression,1,2,2,,,,,,,,,10.0,liblinear,,
LogisticRegression,1,3,3,,,,,,,,,10.0,liblinear,,
LogisticRegression,1,4,4,,,,,,,,,1.0,liblinear,,
LogisticRegression,1,5,5,,,,,,,,,10.0,liblinear,,
LogisticRegression,1,6,6,,,,,,,,,1.0,liblinear,,
LogisticRegression,1,7,7,,,,,,,,,1.0,liblinear,,
LogisticRegression,1,8,8,,,,,,,,,0.1,liblinear,,
LogisticRegression,1,9,9,,,,,,,,,1.0,liblinear,,
LogisticRegression,1,10,10,,,,,,,,,0.1,liblinear,,
LogisticRegression,2,1,11,,,,,,,,,10.0,liblinear,,
LogisticRegression,2,2,12,,,,,,,,,10.0,liblinear,,
LogisticRegression,2,3,13,,,,,,,,,10.0,liblinear,,
LogisticRegression,2,4,14,,,,,,,,,0.1,liblinear,,
LogisticRegression,2,5,15,,,,,,,,,10.0,liblinear,,
LogisticRegression,2,6,16,,,,,,,,,1.0,liblinear,,
LogisticRegression,2,7,17,,,,,,,,,10.0,liblinear,,
LogisticRegression,2,8,18,,,,,,,,,1.0,liblinear,,
LogisticRegression,2,9,19,,,,,,,,,0.1,liblinear,,
LogisticRegression,2,10,20,,,,,,,,,1.0,liblinear,,
LogisticRegression,3,1,21,,,,,,,,,1.0,liblinear,,
LogisticRegression,3,2,22,,,,,,,,,1.0,liblinear,,
LogisticRegression,3,3,23,,,,,,,,,1.0,liblinear,,
LogisticRegression,3,4,24,,,,,,,,,1.0,liblinear,,
LogisticRegression,3,5,25,,,,,,,,,0.1,liblinear,,
LogisticRegression,3,6,26,,,,,,,,,10.0,liblinear,,
LogisticRegression,3,7,27,,,,,,,,,1.0,liblinear,,
LogisticRegression,3,8,28,,,,,,,,,0.1,liblinear,,
LogisticRegression,3,9,29,,,,,,,,,0.1,liblinear,,
LogisticRegression,3,10,30,,,,,,,,,0.1,liblinear,,
SVM,1,1,1,,,,,,,,,1.0,,scale,rbf
SVM,1,2,2,,,,,,,,,0.1,,auto,rbf
SVM,1,3,3,,,,,,,,,1.0,,auto,rbf
SVM,1,4,4,,,,,,,,,0.1,,scale,rbf
SVM,1,5,5,,,,,,,,,1.0,,scale,rbf
SVM,1,6,6,,,,,,,,,1.0,,auto,rbf
SVM,1,7,7,,,,,,,,,0.1,,auto,rbf
SVM,1,8,8,,,,,,,,,0.1,,auto,rbf
SVM,1,9,9,,,,,,,,,1.0,,auto,rbf
SVM,1,10,10,,,,,,,,,0.1,,auto,rbf
SVM,2,1,11,,,,,,,,,0.1,,scale,rbf
SVM,2,2,12,,,,,,,,,1.0,,auto,rbf
SVM,2,3,13,,,,,,,,,1.0,,scale,rbf
SVM,2,4,14,,,,,,,,,0.1,,auto,rbf
SVM,2,5,15,,,,,,,,,1.0,,scale,rbf
SVM,2,6,16,,,,,,,,,0.1,,auto,rbf
SVM,2,7,17,,,,,,,,,1.0,,auto,rbf
SVM,2,8,18,,,,,,,,,1.0,,auto,rbf
SVM,2,9,19,,,,,,,,,1.0,,auto,rbf
SVM,2,10,20,,,,,,,,,0.1,,scale,rbf
SVM,3,1,21,,,,,,,,,0.1,,auto,rbf
SVM,3,2,22,,,,,,,,,1.0,,scale,rbf
SVM,3,3,23,,,,,,,,,0.1,,auto,rbf
SVM,3,4,24,,,,,,,,,0.1,,auto,rbf
SVM,3,5,25,,,,,,,,,1.0,,auto,rbf
SVM,3,6,26,,,,,,,,,0.1,,scale,rbf
SVM,3,7,27,,,,,,,,,1.0,,auto,rbf
SVM,3,8,28,,,,,,,,,1.0,,auto,rbf
SVM,3,9,29,,,,,,,,,1.0,,scale,rbf
SVM,3,10,30,,,,,,,,,1.0,,auto,rbf
